Fecha,Used
2021-05-01,60551.0
2021-06-01,55978.0
2021-07-01,57859.0
2021-08-01,57280.0
2021-09-01,54004.0
2021-10-01,52045.0
2021-11-01,47276.0
2021-12-01,42812.0
2022-01-01,40497.0
2022-02-01,46442.0
2022-03-01,57453.0
2022-04-01,51670.0
2022-05-01,51373.0
2022-06-01,47829.0
2022-07-01,49295.0
2022-08-01,49861.0
2022-09-01,48298.0
2022-10-01,47325.0
2022-11-01,43345.0
2022-12-01,40906.0
2023-01-01,45543.0
2023-02-01,44320.0
2023-03-01,53557.0
2023-04-01,48230.0
2023-05-01,51416.0
2023-06-01,50613.0
2023-07-01,49502.0
2023-08-01,52725.0
2023-09-01,45386.0
2023-10-01,45473.0
2023-11-01,42260.0
2023-12-01,40556.0
2024-01-01,40539.0
2024-02-01,46445.0
2024-03-01,54123.0
2024-04-01,51127.0
2024-05-01,51753.0
2024-06-01,49934.0
2024-07-01,50500.0
